http://catalogue.bnf.fr/	http://gallica.bnf.fr/	images	pp	chars	OCR	topic	titre
ark:/12148/cb37562523z	ark:/12148/bpt6k62243186	high	674	1371894	99.96	lettres	Correspondance de Henri d'Escoubleau de Sourdis, archevêque de Bordeaux, chef des conseils du roi en l'armée navale... augmentée des ordres, instructions et lettres de Louis XIII et du cardinal de Richelieu à M. de Sourdis concernant les opérations des flottes françaises de 1636 à 1642. et accompagnée d'un texte historique, de notes et d'une introduction sur l'état de la marine en France sous le ministère du cardinal de Richelieu. Tome I
ark:/12148/cb37562523z	ark:/12148/bpt6k6224319m	high	710	1433706	99.96	lettres	Correspondance de Henri d'Escoubleau de Sourdis, archevêque de Bordeaux, chef des conseils du roi en l'armée navale... augmentée des ordres, instructions et lettres de Louis XIII et du cardinal de Richelieu à M. de Sourdis concernant les opérations des flottes françaises de 1636 à 1642. et accompagnée d'un texte historique, de notes et d'une introduction sur l'état de la marine en France sous le ministère du cardinal de Richelieu. Tome II
ark:/12148/cb37562441m	ark:/12148/bpt6k62243290	high	564	1219177	99.96		Mémoires militaires relatifs à la succession d'Espagne sous Louis XIV. Tome VII : Campagnes de Flandre, d'Italie et d'Allemagne en 1707
ark:/12148/cb37562558m	ark:/12148/bpt6k6224416q	high	604	800943	98.5		Chronique des ducs de Normandie. Tome II
ark:/12148/cb37557738j	ark:/12148/bpt6k62244174	high	948	2038865	99.96	lettres	Lettres, instructions diplomatiques et papiers d'état du cardinal de Richelieu. Tome I : 1608-1624
ark:/12148/cb37563767c	ark:/12148/bpt6k6224419z	high	810	1509778	99.96		Chronique du religieux de Saint-Denys : contenant le règne de Charles VI, de 1380 à 1422. Tome IV
ark:/12148/cb37568695j	ark:/12148/bpt6k62244211	high	1008	2435267	99.96		Journal d'Olivier Lefèvre d'Ormesson et extraits des mémoires d'André Lefèvre d'Ormesson. Tome I : 1643-1650
ark:/12148/cb37565583j	ark:/12148/bpt6k62244352	high	844	2131641	98.5	lettres	Lettres du cardinal Mazarin pendant son ministère. Tome VII : juillet 1655 - juin 1657
ark:/12148/cb37562441m	ark:/12148/bpt6k62245859	high	948	2018163	99.96		Mémoires militaires relatifs à la succession d'Espagne sous Louis XIV. Tome II : Campagnes de Flandre, d'Italie et d'Allemagne en 1702
ark:/12148/cb37562140f	ark:/12148/bpt6k6225078r	high	462	727333	98.7		Privilèges accordés à la Couronne de France par le Saint-Siège
ark:/12148/cb375577403	ark:/12148/bpt6k6225106m	high	716	1446324	99.76		 Papiers d'État du cardinal de Granvelle : d'après les manuscrits de la Bibliothèque de Besançon. Tome VII
ark:/12148/cb375577403	ark:/12148/bpt6k6225149c	high	688	1297286	99.96		 Papiers d'État du cardinal de Granvelle : d'après les manuscrits de la Bibliothèque de Besançon. Tome III
ark:/12148/cb375577403	ark:/12148/bpt6k6225206z	high	662	1358037	99.56		 Papiers d'État du cardinal de Granvelle : d'après les manuscrits de la Bibliothèque de Besançon. Tome VI
ark:/12148/cb375577403	ark:/12148/bpt6k6225404t	high	730	1426029	98.5		 Papiers d'État du cardinal de Granvelle : d'après les manuscrits de la Bibliothèque de Besançon. Tome II
ark:/12148/cb37562555k	ark:/12148/bpt6k6225833x	high	616	1190469	99.96		Chronique de Bertrand Du Guesclin. Tome I
ark:/12148/cb37565583j	ark:/12148/bpt6k6227268p	high	834	2003451	98.57	lettres	Lettres du cardinal Mazarin pendant son ministère. Tome V : janvier 1652 - août 1653
ark:/12148/cb37563395h	ark:/12148/bpt6k6227746t	high	144	201950	98.5	chartes	Cartulaire de l'abbaye de Saint-Bertin. Appendice au Tome III
ark:/12148/cb37565583j	ark:/12148/bpt6k62278005	high	1036	2705542	98.5 	lettres	Lettres du cardinal Mazarin pendant son ministère. Tome IX : août 1658 - mars 1661
ark:/12148/cb375577403	ark:/12148/bpt6k6231075j	high	804	1811482	99.52		 Papiers d'État du cardinal de Granvelle : d'après les manuscrits de la Bibliothèque de Besançon. Tome IV
ark:/12148/cb37563393t	ark:/12148/bpt6k6231076z	high	891	1562412	98.5		Histoire de la croisade contre les hérétiques albigeois écrite en vers provençaux par un poëte contemporain
ark:/12148/cb37562558m	ark:/12148/bpt6k6236326n	high	662	851696	99.93 		Chronique des ducs de Normandie. Tome I
ark:/12148/cb37562555k	ark:/12148/bpt6k6238719h	high	632	1166162	99.9 		Chronique de Bertrand Du Guesclin. Tome II
ark:/12148/cb37370109p	ark:/12148/bpt6k62425286	high	816	1685612	99.0	chartes	Les Olim, ou Registres des arrêts rendus par la Cour du Roi : sous les règnes de Saint Louis, de Philippe Le Hardi, de Philippe Le Bel, de Louis Le Hutin et de Philippe Le Long. Tome III, première partie : 1299-1311
ark:/12148/cb375577403	ark:/12148/bpt6k6242624w	high	712	1461452	99.96		 Papiers d'État du cardinal de Granvelle : d'après les manuscrits de la Bibliothèque de Besançon. Tome VIII
ark:/12148/cb34018041n	ark:/12148/bpt6k6243588s	high	796	4309944	98.5		Rôles gascons. Tome III : 1290-1307
ark:/12148/cb34018041n	ark:/12148/bpt6k6243628v	high	710	3394672	99.97 		Rôles gascons. Tome IV : 1307-1317
ark:/12148/cb37565583j	ark:/12148/bpt6k62458715	high	796	2029579	98.58	lettres	Lettres du cardinal Mazarin pendant son ministère. Tome VI : septembre 1653 - juin 1655
ark:/12148/cb37567321x	ark:/12148/bpt6k62467536	high	784	2163750	99.0		Li livres dou tresor
ark:/12148/cb37562915f	ark:/12148/bpt6k6250523s	low	951	2241362	98.5 	chartes	Cartulaire de l'abbaye de Saint-Victor de Marseille. Tome II
ark:/12148/cb375577403	ark:/12148/bpt6k62553635	high	728	1388979	99.96		 Papiers d'État du cardinal de Granvelle : d'après les manuscrits de la Bibliothèque de Besançon. Tome V
ark:/12148/cb37567437k	ark:/12148/bpt6k6257058f	low	511	1351594	98.5		Li livres de jostice et de plet
ark:/12148/cb375577403	ark:/12148/bpt6k6260824h	high	710	1507798	99.72		 Papiers d'État du cardinal de Granvelle : d'après les manuscrits de la Bibliothèque de Besançon. Tome IX
