http://catalogue.bnf.fr/	BENC	CTHS	http://gallica.bnf.fr/	pages	OCR	année	nº in coll.	tome	nº in série	format	sous-collection	titre	éditeur (@key)	éditeur (@ref)	auteur (@key)	auteur (@ref)	collection	exemplaire CTHS ?	regroupement (titre)	regroupement (ark, notice BnF)	code erreur	commentaire
ark:/12148/cb37566174q	32335	644	ark:/12148/bpt6k6215989c	1028	98.5	1869				in-4	Première série, Histoire politique	Les familles d'Outre-Mer de Du Cange	Rey, Emmanuel-Guillaume (1837-1916)	http://catalogue.bnf.fr/ark:/12148/cb10654660q	Du Cange, Charles Du Fresne (1610-1688)	http://catalogue.bnf.fr/ark:/12148/cb12410963q	Collection de documents inédits sur l'histoire de France					
ark:/12148/cb37565583j	49252	674	ark:/12148/bpt6k62159901	1136	98.5	1872		1		in-4	Première série, Histoire politique	Lettres du cardinal Mazarin pendant son ministère. Tome I : décembre 1642 - juin 1644 	Chéruel, Adolphe (1809-1891)	http://catalogue.bnf.fr/ark:/12148/cb12392284q	Mazarin, Jules (1602-1661)	http://catalogue.bnf.fr/ark:/12148/cb121112687	Collection de documents inédits sur l'histoire de France		Lettres du cardinal Mazarin pendant son ministère	http://catalogue.bnf.fr/ark:/12148/cb37565583j		
ark:/12148/cb37565583j	49252	1122	ark:/12148/bpt6k6308416n	1174	99.7	1879		2		in-4	Première série, Histoire politique	Lettres du cardinal Mazarin pendant son ministère. Tome II : juillet 1644 - décembre 1647 	Chéruel, Adolphe (1809-1891)	http://catalogue.bnf.fr/ark:/12148/cb12392284q	Mazarin, Jules (1602-1661)	http://catalogue.bnf.fr/ark:/12148/cb121112687	Collection de documents inédits sur l'histoire de France	oui	Lettres du cardinal Mazarin pendant son ministère	http://catalogue.bnf.fr/ark:/12148/cb37565583j		
ark:/12148/cb37565583j	49252	1123	ark:/12148/bpt6k31541s	1146	93.87	1883		3		in-4	Première série, Histoire politique	Lettres du cardinal Mazarin pendant son ministère. Tome III : janvier 1648 - décembre 1650 	Chéruel, Adolphe (1809-1891)	http://catalogue.bnf.fr/ark:/12148/cb12392284q	Mazarin, Jules (1602-1661)	http://catalogue.bnf.fr/ark:/12148/cb121112687	Collection de documents inédits sur l'histoire de France		Lettres du cardinal Mazarin pendant son ministère	http://catalogue.bnf.fr/ark:/12148/cb37565583j		
ark:/12148/cb37565583j	49252		ark:/12148/bpt6k6222680z	876	98.56	1887		4			Première série, Histoire politique	Lettres du cardinal Mazarin pendant son ministère. Tome IV : janvier - décembre 1651 	Chéruel, Adolphe (1809-1891)	http://catalogue.bnf.fr/ark:/12148/cb12392284q	Mazarin, Jules (1602-1661)	http://catalogue.bnf.fr/ark:/12148/cb121112687	Collection de documents inédits sur l'histoire de France		Lettres du cardinal Mazarin pendant son ministère	http://catalogue.bnf.fr/ark:/12148/cb37565583j		
ark:/12148/cb37565583j	49252		ark:/12148/bpt6k6227268p	834	98.57	1889		5			Première série, Histoire politique	Lettres du cardinal Mazarin pendant son ministère. Tome V : janvier 1652 - août 1653	Chéruel, Adolphe (1809-1891)	http://catalogue.bnf.fr/ark:/12148/cb12392284q	Mazarin, Jules (1602-1661)	http://catalogue.bnf.fr/ark:/12148/cb121112687	Collection de documents inédits sur l'histoire de France	oui	Lettres du cardinal Mazarin pendant son ministère	http://catalogue.bnf.fr/ark:/12148/cb37565583j		
ark:/12148/cb37565583j	49252		ark:/12148/bpt6k62458715	796	98.58	1890		6			Première série, Histoire politique	Lettres du cardinal Mazarin pendant son ministère. Tome VI : septembre 1653 - juin 1655	Chéruel, Adolphe (1809-1891)	http://catalogue.bnf.fr/ark:/12148/cb12392284q	Mazarin, Jules (1602-1661)	http://catalogue.bnf.fr/ark:/12148/cb121112687	Collection de documents inédits sur l'histoire de France	oui	Lettres du cardinal Mazarin pendant son ministère	http://catalogue.bnf.fr/ark:/12148/cb37565583j		
ark:/12148/cb37565583j	49252		ark:/12148/bpt6k62244352	844	98.5	1893		7			Première série, Histoire politique	Lettres du cardinal Mazarin pendant son ministère. Tome VII : juillet 1655 - juin 1657	Chéruel, Adolphe (1809-1891)	http://catalogue.bnf.fr/ark:/12148/cb12392284q	Mazarin, Jules (1602-1661)	http://catalogue.bnf.fr/ark:/12148/cb121112687	Collection de documents inédits sur l'histoire de France	oui	Lettres du cardinal Mazarin pendant son ministère	http://catalogue.bnf.fr/ark:/12148/cb37565583j		
ark:/12148/cb37565583j	49252		ark:/12148/bpt6k6218628k	872	98.73	1894		8			Première série, Histoire politique	Lettres du cardinal Mazarin pendant son ministère. Tome VIII : juillet 1657 - août 1658	Chéruel, Adolphe (1809-1891)	http://catalogue.bnf.fr/ark:/12148/cb12392284q	Mazarin, Jules (1602-1661)	http://catalogue.bnf.fr/ark:/12148/cb121112687	Collection de documents inédits sur l'histoire de France	oui	Lettres du cardinal Mazarin pendant son ministère	http://catalogue.bnf.fr/ark:/12148/cb37565583j		
ark:/12148/cb37565583j	49252		ark:/12148/bpt6k62278005	1036	98.5 	1906		9			Première série, Histoire politique	Lettres du cardinal Mazarin pendant son ministère. Tome IX : août 1658 - mars 1661	Avenel, Georges d' (1855-1939) 	http://catalogue.bnf.fr/ark:/12148/cb125109271	Mazarin, Jules (1602-1661)	http://catalogue.bnf.fr/ark:/12148/cb121112687	Collection de documents inédits sur l'histoire de France	oui	Lettres du cardinal Mazarin pendant son ministère	http://catalogue.bnf.fr/ark:/12148/cb37565583j		
